Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,2000,1199,486,3875,287.76,0.000%,14.50958,4.26,3.24,300.7
TOTAL,2000,1199,486,3875,287.76,0.000%,14.50958,4.26,3.24,300.7
